"degree"	"uni"	"loc"	"start_date"	"end_date"	"details"
"Philipps-Universität Marburg"	"Dr. rer. nat. (PhD) in Psychology"	"Marburg (Germany)"	"Jan 2015"	"Present"	"Doctoral Thesis: The electrophysiology of individual differences in 
         executive-dependent descision making."
"Philipps-Universität Marburg"	"German Diplom in Psychology (M.Sc. equivalent)"	"Marburg (Germany)"	"October 2008"	"September 2014"	"Majors: Clinical psychology, biological and experimental psychology."
